"File Name","Download Date",User,"First Name","Last Name",Affiliation,Study,"PCRC Member"
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","10/12/2024 - 15:49",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","10/12/2024 - 15:49",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"Study Summary - PCDM.pdf","10/12/2024 - 15:49",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","10/12/2024 - 15:49",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Template.docx","10/12/2024 - 15:49",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","10/12/2024 - 15:49",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"Study Summary - Long 14-06p.docx","10/12/2024 - 15:49",Anonymous,,,,"Family Experiences in ICU Transfers",
"GOC - DISC Data Repository - Study Summary.docx","10/12/2024 - 15:49",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary_Mack.docx","10/12/2024 - 15:49",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary - REST.pdf","10/11/2024 - 20:50",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary 14-09 Ferrell-protected.pdf","10/11/2024 - 20:50",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Brown - DISC Data Repository - Study Summary.docx","10/11/2024 - 20:50",Anonymous,,,,"Understanding The Perspectives Of Palliative Care And Advance Care Planning In Patients With Pulmonary Arterial Hypertension And The Physicians Caring For Them",
"DISC Data Repository - Study Summary.docx","10/11/2024 - 20:50",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","10/11/2024 - 20:50",Anonymous,,,,"Statin Discontinuation",
StudySummary100819.docx,"10/11/2024 - 20:50",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","10/11/2024 - 20:50",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"10/11/2024 - 20:50",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - PCDM.pdf","10/11/2024 - 20:49",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","10/11/2024 - 20:49",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"Study Summary - Long 14-06p.docx","10/11/2024 - 20:49",Anonymous,,,,"Family Experiences in ICU Transfers",
"GOC - DISC Data Repository - Study Summary.docx","10/11/2024 - 20:49",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","10/11/2024 - 20:49",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","10/11/2024 - 20:49",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"DISC Data Repository - Study Summary_Mack.docx","10/11/2024 - 20:49",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","10/11/2024 - 20:49",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Template.docx","10/11/2024 - 20:49",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"GOC - DISC Data Repository - Study Summary.docx","12/27/2023 - 17:13",Anonymous,,,,"Goals of Care",
StudySummary100819.docx,"12/27/2023 - 05:33",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/27/2023 - 03:56",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","12/27/2023 - 00:19",Anonymous,,,,"Statin Discontinuation",
"Study Summary - Long 14-06p.docx","12/26/2023 - 12:47",Anonymous,,,,"Family Experiences in ICU Transfers",
"Study Summary - PCDM.pdf","12/26/2023 - 12:46",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","12/25/2023 - 15:18",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"DISC Data Repository - Study Summary_Mack.docx","12/25/2023 - 15:08",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","12/25/2023 - 11:50",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"Plumb Vilardaga_DISC Data Repository - Study Summary.docx","12/25/2023 - 10:49",Anonymous,,,,"Mindfulness-Based Multi-Symptom CBT for Advanced Cancer Patients",
"DISC Data Repository - Study Summary Template.docx","12/25/2023 - 09:24",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - Long 14-06p.docx","12/25/2023 - 07:51",Anonymous,,,,"Family Experiences in ICU Transfers",
"GOC - DISC Data Repository - Study Summary.docx","12/25/2023 - 07:33",Anonymous,,,,"Goals of Care",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","12/25/2023 - 04:28",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"Study Summary 14-09 Ferrell-protected.pdf","12/25/2023 - 03:58",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary - Long 14-06p.docx","12/25/2023 - 03:25",Anonymous,,,,"Family Experiences in ICU Transfers",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/25/2023 - 03:06",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","12/25/2023 - 01:09",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary - PCDM.pdf","12/24/2023 - 22:46",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"12/24/2023 - 20:58",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - REST.pdf","12/24/2023 - 18:33",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary - PCDM.pdf","12/24/2023 - 14:24",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary_Mack.docx","12/24/2023 - 14:23",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
